id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1393717801567850504,1393717801567850504,2021-05-15 19:59:52 Hora est. Sudamérica Pacífico,2021-05-15,19:59:52,-0400,140603148,colimirpo,⚽Tochesito📡,,Goooooool de Táchira,es,[],[],[],0,0,0,[],[],https://twitter.com/Colimirpo/status/1393717801567850504,False,,0,,,"-33.45776872061534,-70.66448325142338,10km",,,,,[],,,,
1393717798212444160,1393717798212444160,2021-05-15 19:59:51 Hora est. Sudamérica Pacífico,2021-05-15,19:59:51,-0400,61645401,rauledu7,Raul Febres Cordero,,"Defendemos horrriblee la pelota parada! 2 corner, 2 goles (1 anulado)",es,[],[],[],0,1,8,[],[],https://twitter.com/RaulEdu7/status/1393717798212444160,False,,0,,,"-33.45776872061534,-70.66448325142338,10km",,,,,[],,,,
1393717786724245504,1393717786724245504,2021-05-15 19:59:49 Hora est. Sudamérica Pacífico,2021-05-15,19:59:49,-0400,304823005,matuspablo13,Pablo Matus D.,,Bronto13 rumbo a 10-0-2 @13Providencia @cbsantiago  https://t.co/t8hCrIHR36,es,"[{'screen_name': '13providencia', 'name': '13 compañía cbs', 'id': '210627159'}, {'screen_name': 'cbsantiago', 'name': 'cuerpo de bomberos de santiago', 'id': '119404747'}]",[],[],1,7,44,[],[],https://twitter.com/matuspablo13/status/1393717786724245504,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1393717740343599106/pu/img/vTNH6jNfpEdXKtGs.jpg,,"-33.45776872061534,-70.66448325142338,10km",,,,,[],,,,
1393717767191384070,1393434281976938498,2021-05-15 19:59:44 Hora est. Sudamérica Pacífico,2021-05-15,19:59:44,-0400,1302818656464916480,monoporfiado3,@monoporfiad@,,"@SolamenteElena Ay por favor, no sólo de zurdos vive Chile, ya tuvieron su oportunidad AHORA algo NUEVO por favor, al igual que la derecha se creén dueños de Chile, 🙋✍️✍️✍️🙋🤬🤬💅💅💅💅💅🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱",es,[],[],[],0,0,1,[],[],https://twitter.com/monoporfiado3/status/1393717767191384070,False,,0,,,"-33.45776872061534,-70.66448325142338,10km",,,,,"[{'screen_name': 'SolamenteElena', 'name': 'María Elena #ChileDespertó @DanielJadue Presidente', 'id': '1213602292525436928'}]",,,,
1393717751118696449,1393717751118696449,2021-05-15 19:59:40 Hora est. Sudamérica Pacífico,2021-05-15,19:59:40,-0400,252336362,7uanf,Juan Fernández,,Si soy,es,[],[],[],0,0,0,[],[],https://twitter.com/7uanF/status/1393717751118696449,False,https://twitter.com/johanavanegass/status/1393716829416218628,0,,,"-33.45776872061534,-70.66448325142338,10km",,,,,[],,,,
1393717645598412801,1393645269061881866,2021-05-15 19:59:15 Hora est. Sudamérica Pacífico,2021-05-15,19:59:15,-0400,60674459,fcogutierrez_,Fco.JavierGutiérrez,,@patriciosainzr Pense lo mismo.  Fake,es,[],[],[],0,0,0,[],[],https://twitter.com/fcogutierrez_/status/1393717645598412801,False,,0,,,"-33.45776872061534,-70.66448325142338,10km",,,,,"[{'screen_name': 'patriciosainzr', 'name': 'Patricio Sainz', 'id': '155310985'}]",,,,
1393717536521400325,1393717259844169728,2021-05-15 19:58:49 Hora est. Sudamérica Pacífico,2021-05-15,19:58:49,-0400,309746061,elchedelosgays,Víctor Hugo Robles,,@BartolodelPony Los amarillos pintados de rojo señorial 😷,es,[],[],[],0,1,5,[],[],https://twitter.com/elchedelosgays/status/1393717536521400325,False,,0,,,"-33.45776872061534,-70.66448325142338,10km",,,,,"[{'screen_name': 'BartolodelPony', 'name': 'Bartolo 🏳️\u200d🌈 #FueraPiñeraYSusSecuaces', 'id': '1235299429156114432'}]",,,,
1393717515164004352,1393717515164004352,2021-05-15 19:58:44 Hora est. Sudamérica Pacífico,2021-05-15,19:58:44,-0400,61934421,cristian_avl,CristianVL ¡!,,#ChiledecideLaRed Cagó el programa. Saquen a ese payaso de TJH,es,[],[],[],1,0,2,['chiledecidelared'],[],https://twitter.com/Cristian_AVL/status/1393717515164004352,False,,0,,,"-33.45776872061534,-70.66448325142338,10km",,,,,[],,,,
1393717503650668551,1393267142166994947,2021-05-15 19:58:41 Hora est. Sudamérica Pacífico,2021-05-15,19:58:41,-0400,60674459,fcogutierrez_,Fco.JavierGutiérrez,,@Kieila @MacaLescornez Sigo pensando que lloras de más.  La situación covid es totalmente distinto entre fds y octubre.  Las comunas en la rm en general son pequeñas.,es,[],[],[],1,0,0,[],[],https://twitter.com/fcogutierrez_/status/1393717503650668551,False,,0,,,"-33.45776872061534,-70.66448325142338,10km",,,,,"[{'screen_name': 'Kieila', 'name': 'Kieila', 'id': '234447240'}, {'screen_name': 'MacaLescornez', 'name': 'Macarena Lescornez', 'id': '30253075'}]",,,,
1393717499875762178,1393713551383085060,2021-05-15 19:58:40 Hora est. Sudamérica Pacífico,2021-05-15,19:58:40,-0400,77068025,victororvikk,May Zozi,,@DrSertralina Well... Ese fue un intento,es,[],[],[],1,0,1,[],[],https://twitter.com/victororvikk/status/1393717499875762178,False,,0,,,"-33.45776872061534,-70.66448325142338,10km",,,,,"[{'screen_name': 'DrSertralina', 'name': 'Dr. Sertralina', 'id': '110202698'}]",,,,
