id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1394079926173802497,1394079926173802497,2021-05-16 19:58:49 Hora est. Sudamérica Pacífico,2021-05-16,19:58:49,-0400,1333227799579144193,soacarolinawm,Soa Caro de Lo Valledorski 2.0,,la proxima eleccion deberian hacerla en el costanera... ahi si q los wns hacen fila y acampan el dia anterior  weones de mierda!,es,[],[],[],12,22,118,[],[],https://twitter.com/SoaCarolinaWM/status/1394079926173802497,False,,0,,"Santiago, Chile",,,,,,[],,,,
1394079838617669634,1394079838617669634,2021-05-16 19:58:28 Hora est. Sudamérica Pacífico,2021-05-16,19:58:28,-0400,102425640,cavigol7,Cristián Alejandro (desde🏘️ con 👨‍👩‍👧‍👦),,Algunas tendencias en diversos recintos de votación en Maipú.  https://t.co/NEOYPEqt3F,es,[],[],"['https://pbs.twimg.com/media/E1jENKZWQAELmNs.jpg', 'https://pbs.twimg.com/media/E1jENmkWEAM8m_d.jpg', 'https://pbs.twimg.com/media/E1jENt5XIAQh6Tw.jpg', 'https://pbs.twimg.com/media/E1jEOEjXsAIA90k.jpg']",7,14,30,[],[],https://twitter.com/Cavigol7/status/1394079838617669634,False,,1,https://pbs.twimg.com/media/E1jENKZWQAELmNs.jpg,"Santiago, Chile",,,,,,[],,,,
1394078959940288513,1394078959940288513,2021-05-16 19:54:59 Hora est. Sudamérica Pacífico,2021-05-16,19:54:59,-0400,1155248211256324097,macabile2,macarena,,"Mis respetos y admiración para todos los vocales de mesa que cumplieron la gran responsabilidad de ser vocales de mesa en esta elección, y a las personas que se quedaron custodiando votos en la noche también  https://t.co/UoeMqGpa8U",es,[],[],['https://pbs.twimg.com/tweet_video_thumb/E1jDa7-XIAcJKPs.jpg'],0,1,12,[],[],https://twitter.com/macabile2/status/1394078959940288513,False,,1,https://pbs.twimg.com/tweet_video_thumb/E1jDa7-XIAcJKPs.jpg,"Santiago, Chile",,,,,,[],,,,
1394077814010298369,1394077814010298369,2021-05-16 19:50:26 Hora est. Sudamérica Pacífico,2021-05-16,19:50:26,-0400,252336362,7uanf,Juan Fernández,,$200 en unos AirPods?   Si lo hagan,es,[],[],[],2,0,11,[],[],https://twitter.com/7uanF/status/1394077814010298369,False,,0,,"Santiago, Chile",,,,,,[],,,,
1394077750709915652,1394077750709915652,2021-05-16 19:50:11 Hora est. Sudamérica Pacífico,2021-05-16,19:50:11,-0400,102425640,cavigol7,Cristián Alejandro (desde🏘️ con 👨‍👩‍👧‍👦),,Mesa 248v Maipú.  Vodanovic 85 Barriga 55 Delgado 24 Bustamante 21 Ramírez 5  #ADNLaGranDecision,und,[],[],[],2,1,20,['adnlagrandecision'],[],https://twitter.com/Cavigol7/status/1394077750709915652,False,,0,,"Santiago, Chile",,,,,,[],,,,
1394077442965483520,1394077442965483520,2021-05-16 19:48:57 Hora est. Sudamérica Pacífico,2021-05-16,19:48:57,-0400,296042602,montessinoss,CHIRERE🥦,,💨💨💨💨  https://t.co/809FtNhxM0,und,[],[],['https://pbs.twimg.com/media/E1jCClrXoAM7JbI.jpg'],1,0,12,[],[],https://twitter.com/Montessinoss/status/1394077442965483520,False,,1,https://pbs.twimg.com/media/E1jCClrXoAM7JbI.jpg,"Santiago, Chile",,,,,,[],,,,
1394077202178879488,1394077202178879488,2021-05-16 19:48:00 Hora est. Sudamérica Pacífico,2021-05-16,19:48:00,-0400,419589684,romartinezc,Ro Martínez C.,,Yo en el amor 💔  https://t.co/Gqhp89bF70,es,[],[],['https://pbs.twimg.com/media/E1jB0zyXMAUws88.jpg'],84,1072,4333,[],[],https://twitter.com/RoMartinezC/status/1394077202178879488,False,,1,https://pbs.twimg.com/media/E1jB0zyXMAUws88.jpg,"Santiago, Chile",,,,,,[],,,,
1394076911878483972,1394076911878483972,2021-05-16 19:46:51 Hora est. Sudamérica Pacífico,2021-05-16,19:46:51,-0400,711113234,nomastonteras,AMAS,,Siniestro y solapado plan del gobierno: decretó gratuidad de la locomoción colectiva pero esta ni se asomó por las calles de Chile.,es,[],[],[],2,12,20,[],[],https://twitter.com/nomastonteras/status/1394076911878483972,False,,0,,"Santiago, Chile",,,,,,[],,,,
1394076667757404161,1394076667757404161,2021-05-16 19:45:52 Hora est. Sudamérica Pacífico,2021-05-16,19:45:52,-0400,10044232,infozeus,Juan Yáñez,,Qué locura lo de la Marinovic acá en el D10...,es,[],[],[],8,0,16,[],[],https://twitter.com/infozeus/status/1394076667757404161,False,,0,,"Santiago, Chile",,,,,,[],,,,
1394075825654444033,1394075825654444033,2021-05-16 19:42:32 Hora est. Sudamérica Pacífico,2021-05-16,19:42:32,-0400,1189712572213317633,matiasspird,Matias Spird // Renuncia Piñera Qlo!,,"No soy de Viña, pero estamos de acuerdo que debe ganar la Ripamonti o no?",es,[],[],[],4,1,28,[],[],https://twitter.com/MatiasSpird/status/1394075825654444033,False,,0,,"Santiago, Chile",,,,,,[],,,,
1394075663192240130,1394075663192240130,2021-05-16 19:41:53 Hora est. Sudamérica Pacífico,2021-05-16,19:41:53,-0400,123107242,consuelogarciag,Conti García,,"Que desastre los resultados. Me agarro la cabeza y no entiendo nada!!!!!!  Que pena sentir que no sirvió de nada marchar y marchar...Nada sirvió.   Gracias a todos los que les dió flojera ir a votar, valen 🍄",es,[],[],[],6,9,33,[],[],https://twitter.com/consuelogarciag/status/1394075663192240130,False,,0,,"Santiago, Chile",,,,,,[],,,,
1394075506916708353,1394075506916708353,2021-05-16 19:41:16 Hora est. Sudamérica Pacífico,2021-05-16,19:41:16,-0400,10141482,earriagada,Eduardo Arriagada 😷📲,,"Zapping en los resultados, creo que los gráficos de @TVN y de @CHVNoticias presentan graficas con resultados individuales incluso sin definir los cupos del distrito, lo que no sirve. Me parece que solo @canal13 aporta gráficos que ve el Dhont x lista y corrección por paridad.",es,"[{'screen_name': 'tvn', 'name': 'tvn', 'id': '106502630'}, {'screen_name': 'chvnoticias', 'name': 'chv noticias', 'id': '51326671'}, {'screen_name': 'canal13', 'name': 'canal 13', 'id': '216436927'}]",[],[],3,6,26,[],[],https://twitter.com/earriagada/status/1394075506916708353,False,,0,,"Santiago, Chile",,,,,,[],,,,
1394075366193520647,1394075366193520647,2021-05-16 19:40:42 Hora est. Sudamérica Pacífico,2021-05-16,19:40:42,-0400,1250961423926247427,f3ligutierrez,F3liGutierrez_,,"NO Y EN VIÑA VA GANANDO LA ANDREA MOLINA, pésimas toas toas",es,[],[],[],7,0,22,[],[],https://twitter.com/F3liGutierrez/status/1394075366193520647,False,,0,,"Santiago, Chile",,,,,,[],,,,
1394075123272101891,1394074839703506945,2021-05-16 19:39:44 Hora est. Sudamérica Pacífico,2021-05-16,19:39:44,-0400,535755093,basti_arias,Bastian,,@rorral Para ser constituyente se necesita más que buenas intenciones,es,[],[],[],1,0,66,[],[],https://twitter.com/Basti_arias/status/1394075123272101891,False,,0,,"Santiago, Chile",,,,,,"[{'screen_name': 'rorral', 'name': 'Don Rorro Sinergia', 'id': '256552345'}]",,,,
1394074333170094080,1394074333170094080,2021-05-16 19:36:36 Hora est. Sudamérica Pacífico,2021-05-16,19:36:36,-0400,960762907,5dejunio1991,Un Nuevo Chile,,Los profes Jaime Bassa y Fernando Atria a dar clases en la Convención Constitucional ✊🏼💚🏆,es,[],[],[],1,3,25,[],[],https://twitter.com/5deJunio1991/status/1394074333170094080,False,,0,,"Santiago, Chile",,,,,,[],,,,
