,parameters,u_mass
0,"(5, 'auto', 'auto')",-9.184483070277533
1,"(5, 'auto', 'symmetric')",-9.184483070277533
2,"(5, 'auto', 1)",-8.809145523424593
3,"(5, 'auto', 2)",-8.932425154799882
4,"(5, 'auto', 3)",-8.605767176916311
5,"(5, 'symmetric', 'auto')",-8.794592199793998
6,"(5, 'symmetric', 'symmetric')",-8.794592199793998
7,"(5, 'symmetric', 1)",-8.76838257061768
8,"(5, 'symmetric', 2)",-8.610767669973379
9,"(5, 'symmetric', 3)",-8.572624140851909
10,"(5, 1, 'auto')",-8.788731811513035
11,"(5, 1, 'symmetric')",-8.788731811513035
12,"(5, 1, 1)",-9.159056912816155
13,"(5, 1, 2)",-9.155462149142725
14,"(5, 1, 3)",-8.895629320358385
15,"(5, 2, 'auto')",-9.039118519565214
16,"(5, 2, 'symmetric')",-9.039118519565214
17,"(5, 2, 1)",-9.267745996530616
18,"(5, 2, 2)",-9.311857473998032
19,"(5, 2, 3)",-9.409856425212803
20,"(5, 3, 'auto')",-9.778565934912576
21,"(5, 3, 'symmetric')",-9.778565934912576
22,"(5, 3, 1)",-9.758822433257038
23,"(5, 3, 2)",-9.645455543298286
24,"(5, 3, 3)",-9.600034164797151
