,parameters,u_mass
0,"(2, 'auto', 'auto')",-6.346239887426824
1,"(2, 'auto', 'symmetric')",-6.346239887426824
2,"(2, 'auto', 2)",-7.409808078546028
3,"(2, 'auto', 3)",-7.439675606911398
4,"(2, 'symmetric', 'auto')",-6.363299005185187
5,"(2, 'symmetric', 'symmetric')",-6.363299005185187
6,"(2, 'symmetric', 2)",-7.405851553262294
7,"(2, 'symmetric', 3)",-8.336858218443387
8,"(2, 2, 'auto')",-6.070712555805539
9,"(2, 2, 'symmetric')",-6.070712555805539
10,"(2, 2, 2)",-5.741325668553003
11,"(2, 2, 3)",-5.714601554748349
12,"(2, 3, 'auto')",-4.789874220839726
13,"(2, 3, 'symmetric')",-4.789874220839726
14,"(2, 3, 2)",-4.853729997203898
15,"(2, 3, 3)",-4.855455251272855
