,parameters,u_mass
0,"(5, 1.5, 1.5)",-5.777407070457408
1,"(5, 1.5, 2)",-5.7068050067005895
2,"(5, 1.5, 2.5)",-5.606189056017655
3,"(5, 1.5, 3)",-5.597911044587386
4,"(5, 2, 1.5)",-5.1307225362353535
5,"(5, 2, 2)",-5.107225016499669
6,"(5, 2, 2.5)",-5.120657325029815
7,"(5, 2, 3)",-5.09746729026026
8,"(5, 2.5, 1.5)",-4.97134829686029
9,"(5, 2.5, 2)",-4.859145971647212
10,"(5, 2.5, 2.5)",-4.86317723249397
11,"(5, 2.5, 3)",-4.864341739779813
12,"(5, 3, 1.5)",-4.861008574743383
13,"(5, 3, 2)",-4.906948253218291
14,"(5, 3, 2.5)",-4.955229169037123
15,"(5, 3, 3)",-5.107573121581197
